Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
RunewordX	Unbending Will	1		swor									FalIoIthEldElHel	r19	r16	r06	r02	r01	r15																													0
RunewordX	Valor																																															0
RunewordX	Vengeance			weap										r06	r11	r01																																0
RunewordX	Victory																																															0
RunewordX	Voice			helm										r03	r06																																	0
RunewordX	Void																																															0
RunewordX	War																																															0
RunewordX	Water																																															0
RunewordX	Whisper																																															0
RunewordX	Widowmaker	1		swor	axe								EthTirLoMalRal	r05	r03	r28	r23	r08																														0
RunewordX	Wind	1		mele						staf			SurEl	r29	r01																																	0
RunewordX	Wings of Hope																																															0
RunewordX	Winter	1		swor	mace	miss							LemKoElEld	r20	r18	r01	r02																															0
RunewordX	Wisdom	1		helm									PulIthEld	r21	r06	r02																																0
RunewordX	Woe			weap	miss																																											0
RunewordX	Wonder			wand										r04	r12	r24																																0
RunewordX	Wrath	1		miss									PulLumBerMal	r21	r17	r30	r23																															0
RunewordX	Youth																																															0
RunewordX	Doomsayer	1		staf									HelOhmUmLoCham	r15	r27	r22	r28	r32																														0
RunewordX	Infinity	1		staf									BerMalBerIst	r30	r23	r30	r24																															0
RunewordX	Spirit	1		staf									TalThulOrtAmn	r07	r10	r09	r11																															0
RunewordX	Phoenix	1		weap						staf			VexVexLoJah	r26	r26	r28	r31																															0
RunewordX	Crescent Moon	1		pole	spea								ShaelUmTir	r13	r22	r03																																0
RunewordX	Ferocity	1		helm									ZodChamShael	r33	r32	r13																																0
RunewordX	Dominion	1		wand									ChamOhm	r32	r27																																	0
RunewordX	Zenith	1		miss	spea	pole	staf						JahZodOrtThulRal	r31	r33	r09	r10	r08																														0
RunewordX	Rampage	1		staf	spea	pole							ShaelElIthEth	r13	r01	r06	r05																															
RunewordX	Neophyte	1		scep	club	sorc	h2h	h2h2					ThulTir	r10	r03																																	
RunewordX	Neophyte	1		staf									ThulTir	r10	r03																																	
RunewordX	Wind	1		staf									SurEl	r29	r01																																	0
RunewordX	Phoenix	1		staf									VexVexLoJah	r26	r26	r28	r31																															0
RunewordX	Shattered Wall	1		pala									ZodJahRalCham	r33	r31	r08	r32																															0
RunewordX	Asylum	1		hamm	pole	spea	miss	2hsw					GulChamTirJahDolUm	r25	r32	r15	r31	r14	r22																													0
RunewordX	Asylum	1		staf									GulChamHelJahDolUm	r25	r32	r15	r31	r14	r22																													0
RunewordX	Revenge			sc9									LoHelZodAmn	r28	r15	r33	r11																															0
RunewordX	Fortitude	1		weap									ElSolDolLo	r01	r12	r14	r28																															0
RunewordX	Destruction	1		staf									VexLoBerJahKo	r26	r28	r30	r31	r18																														0
RunewordX	Hustle	1		tors									ShaelKoEld	r13	r18	r02																																0
